epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,157.721,1.80608,3.36359,2.06412,1.88586,0.4932,0.54545,0.39881,0.16122,0.4932,0.54545,0.35751,0.1431,1.87961,2.81612,2.01418,2.27619,0.0008516,0.0008516,0.0008516
60,160.376,1.96393,3.28543,1.91046,1.92088,0.50647,0.63636,0.42694,0.16384,0.50647,0.63636,0.39447,0.16676,1.96387,2.76741,2.07242,2.27434,0.0008318,0.0008318,0.0008318
61,163.255,1.76098,3.14441,1.75518,1.8116,0.54571,0.54545,0.42825,0.20674,0.59851,0.59091,0.43644,0.18763,1.75767,2.74159,1.78656,2.14898,0.000812,0.000812,0.000812
62,165.844,1.73735,3.19527,1.79677,1.83756,0.54805,0.63636,0.41469,0.21883,0.58976,0.68182,0.43552,0.18545,1.69486,2.70139,1.90751,2.12806,0.0007922,0.0007922,0.0007922
63,168.426,1.76689,3.12821,1.72984,1.80812,0.55924,0.51959,0.47661,0.20675,0.60458,0.55638,0.43727,0.17826,1.73741,2.71591,1.71679,2.21831,0.0007724,0.0007724,0.0007724
64,171.013,1.75441,3.0973,1.7383,1.79461,0.58946,0.54545,0.52106,0.22471,0.58946,0.54545,0.47914,0.19698,1.62206,2.79854,1.90905,2.08177,0.0007526,0.0007526,0.0007526
65,173.612,1.77801,3.11173,1.73513,1.86418,0.68367,0.58952,0.54208,0.19965,0.68367,0.58952,0.52086,0.17985,1.74914,2.92862,2.27496,2.1739,0.0007328,0.0007328,0.0007328
66,176.166,1.7257,3.04643,1.61331,1.82909,0.41992,0.59231,0.39364,0.21111,0.4518,0.63686,0.40621,0.16844,1.61881,2.94865,2.06371,2.02515,0.000713,0.000713,0.000713
67,178.745,1.72174,3.01291,1.59841,1.78658,0.57525,0.55437,0.52162,0.22888,0.57525,0.55437,0.47804,0.19915,1.60148,2.63792,1.85417,2.0606,0.0006932,0.0006932,0.0006932
68,181.403,1.81699,3.12483,1.82851,1.90085,0.55108,0.54545,0.45243,0.22778,0.55108,0.54545,0.42118,0.19019,1.57105,2.63227,1.89242,2.04617,0.0006734,0.0006734,0.0006734
69,184.148,1.82659,3.09946,1.85904,1.93079,0.53409,0.59091,0.46815,0.21834,0.53409,0.59091,0.43535,0.18287,1.52341,2.71062,2.10777,1.99793,0.0006536,0.0006536,0.0006536
70,186.773,1.72375,2.97408,1.70278,1.80706,0.50595,0.60552,0.44793,0.22185,0.50184,0.54545,0.43434,0.18223,1.63622,2.64578,1.73704,2.04137,0.0006338,0.0006338,0.0006338
71,189.41,1.64532,2.9302,1.58192,1.72112,0.61868,0.51682,0.48842,0.22676,0.61868,0.51682,0.45321,0.20882,1.58783,2.64147,1.85314,1.9872,0.000614,0.000614,0.000614
72,192.065,1.70331,2.93111,1.67334,1.76945,0.60713,0.56247,0.53203,0.24662,0.60713,0.56247,0.4986,0.20969,1.64448,2.67542,1.74577,2.00867,0.0005942,0.0005942,0.0005942
73,194.694,1.75755,3.01506,1.61561,1.85633,0.42093,0.63636,0.3907,0.1989,0.51868,0.59091,0.39899,0.17512,1.64829,2.75094,1.80753,2.00324,0.0005744,0.0005744,0.0005744
74,197.326,1.67219,3.08446,1.66002,1.73657,0.4801,0.59091,0.39098,0.18559,0.51785,0.63636,0.36778,0.16372,1.64442,2.66926,2.10616,2.09357,0.0005546,0.0005546,0.0005546
75,199.983,1.64704,2.98959,1.64672,1.75807,0.564,0.63636,0.50523,0.25192,0.564,0.63636,0.4477,0.22035,1.53885,2.48675,1.9091,1.97095,0.0005348,0.0005348,0.0005348
76,202.698,1.61236,3.15108,1.72016,1.75998,0.4802,0.63636,0.43042,0.20706,0.49728,0.68182,0.46818,0.18567,1.61973,2.51976,1.91742,2.04122,0.000515,0.000515,0.000515
77,205.264,1.72229,3.16563,1.58715,1.76701,0.4883,0.63636,0.43357,0.24096,0.49351,0.68182,0.47159,0.21586,1.54458,2.51987,1.67859,1.98806,0.0004952,0.0004952,0.0004952
78,208.058,1.73542,3.1015,1.68231,1.83646,0.4915,0.63636,0.42126,0.22679,0.52567,0.68182,0.45996,0.18761,1.58029,2.72002,1.64832,2.00062,0.0004754,0.0004754,0.0004754
79,210.61,1.65041,3.10117,1.62361,1.73682,0.53498,0.63636,0.43248,0.23199,0.57396,0.68182,0.43948,0.21131,1.57081,2.47454,1.68904,1.96429,0.0004556,0.0004556,0.0004556
80,213.284,1.67141,2.94089,1.55343,1.70208,0.58857,0.65065,0.52666,0.22979,0.58857,0.65065,0.47099,0.2161,1.56067,2.55093,1.76589,1.96357,0.0004358,0.0004358,0.0004358
81,216.076,1.62647,2.91132,1.46825,1.70285,0.5825,0.68182,0.51748,0.26026,0.5825,0.68182,0.43764,0.20711,1.5003,2.61695,1.62036,1.92759,0.000416,0.000416,0.000416
82,218.687,1.5836,2.95021,1.4539,1.67125,0.53439,0.68182,0.52525,0.26745,0.51775,0.68324,0.45164,0.18899,1.487,2.57868,1.56389,1.93845,0.0003962,0.0003962,0.0003962
83,221.391,1.57983,2.84436,1.39745,1.62732,0.50056,0.63636,0.4674,0.25709,0.54168,0.68182,0.4597,0.22701,1.48604,2.47229,1.63398,1.93821,0.0003764,0.0003764,0.0003764
84,224.095,1.61163,3.01638,1.59539,1.7245,0.53686,0.63636,0.585,0.2579,0.53686,0.63636,0.49038,0.24109,1.48261,2.52264,1.65503,1.93886,0.0003566,0.0003566,0.0003566
85,226.727,1.6058,2.97782,1.53345,1.70035,0.56949,0.68182,0.53757,0.27827,0.56949,0.68182,0.47238,0.23183,1.4383,2.56267,1.75378,1.857,0.0003368,0.0003368,0.0003368
86,229.345,1.56585,2.87897,1.49678,1.70982,0.54729,0.68182,0.53383,0.27387,0.54729,0.68182,0.48874,0.25085,1.44636,2.48648,1.8103,1.87205,0.000317,0.000317,0.000317
87,232.142,1.66732,3.06043,1.6287,1.74548,0.55115,0.63636,0.54739,0.29325,0.54539,0.7093,0.49994,0.26799,1.49808,2.48728,1.75366,1.89561,0.0002972,0.0002972,0.0002972
88,234.698,1.64451,2.92981,1.59472,1.77796,0.54348,0.6497,0.51997,0.30205,0.54348,0.6497,0.44561,0.23756,1.4618,2.53611,1.63906,1.85751,0.0002774,0.0002774,0.0002774
89,237.346,1.51853,2.77111,1.38206,1.67434,0.53711,0.68182,0.52264,0.30272,0.53711,0.68182,0.4416,0.24733,1.37838,2.51346,1.58212,1.84322,0.0002576,0.0002576,0.0002576
90,239.93,1.55193,2.79678,1.49288,1.654,0.53449,0.68182,0.48168,0.25407,0.53449,0.68182,0.39947,0.21681,1.42307,2.52404,1.65785,1.89817,0.0002378,0.0002378,0.0002378
91,243.522,1.55518,2.64156,1.40377,1.85136,0.5343,0.67807,0.51281,0.26331,0.5343,0.67807,0.44312,0.21754,1.44805,2.51248,1.71008,1.89188,0.000218,0.000218,0.000218
92,246.258,1.48025,2.56736,1.36564,1.77878,0.54526,0.68182,0.50787,0.29319,0.54526,0.68182,0.43865,0.22751,1.4697,2.48843,1.68527,1.89293,0.0001982,0.0001982,0.0001982
93,248.843,1.42038,2.44517,1.21478,1.67517,0.56349,0.68182,0.53456,0.30324,0.56349,0.68182,0.46028,0.2583,1.47786,2.44715,1.74119,1.88074,0.0001784,0.0001784,0.0001784
94,251.52,1.52189,2.57343,1.30322,1.81155,0.56486,0.68182,0.5155,0.2851,0.56486,0.68182,0.44845,0.24726,1.49902,2.4443,1.75331,1.88567,0.0001586,0.0001586,0.0001586
95,254.142,1.40773,2.51463,1.22052,1.70273,0.54749,0.68182,0.4891,0.26758,0.54749,0.68182,0.42265,0.22333,1.4557,2.4356,1.67888,1.84493,0.0001388,0.0001388,0.0001388
96,256.983,1.47065,2.57491,1.26007,1.78784,0.52966,0.68182,0.50048,0.28326,0.52059,0.69127,0.4346,0.23004,1.45901,2.44747,1.62431,1.86651,0.000119,0.000119,0.000119
97,259.58,1.46265,2.54296,1.19461,1.74769,0.53103,0.68182,0.52141,0.28748,0.54719,0.7144,0.45539,0.23796,1.50694,2.44722,1.64316,1.89312,9.92e-05,9.92e-05,9.92e-05
98,262.222,1.43722,2.62485,1.26279,1.76684,0.52947,0.68182,0.52503,0.29513,0.52947,0.68182,0.45704,0.24538,1.53039,2.46319,1.6967,1.90291,7.94e-05,7.94e-05,7.94e-05
99,264.878,1.42635,2.52333,1.26707,1.71859,0.53137,0.68182,0.54221,0.31133,0.53137,0.68182,0.47332,0.25759,1.49627,2.45325,1.67394,1.88568,5.96e-05,5.96e-05,5.96e-05
100,267.548,1.50626,2.48168,1.21681,1.75906,0.53259,0.72516,0.53355,0.31175,0.53069,0.68182,0.46353,0.25306,1.50084,2.44994,1.6211,1.89468,3.98e-05,3.98e-05,3.98e-05
